Firm Name,Address,Representative,Phone,Email,Website
East Consult (P) Ltd.,"House No. 4585/34, Ward No. 15, Lalitpur Metropolitan City, Ring Road North, Satdobato, Deepawali Marga Tole",Er. Sagar Onta,"01-4422191, 01-4442412",info@eastconsult.com.np,www.eastconsult.com.np
Nepalconsult (P) Ltd.,"GPO Box 492, 10/47 Chamling Niwas, Kupondol, Lalitpur, Nepalhttps://maps.app.goo.gl/sgsDtsJA9Yty4bzY6",Er. Prakash Rudra Shrestha,"01-5420153, 01-5180170",nc@mos.com.np,www.nepalconsult.com.np
MULTI Disciplinary Consultants (P) Ltd.,"Kupondole-10, Lalitpur, Kathmandu, NepalPost Box no. 5720",Er. Badan Lal Nyachhyon,"01-5010676, 01-5429304,01-5423103",mdc.multinepal@gmail.com,www.multinepalfirst.com
Architects Collaborate (Nepal) (P) Ltd.,"Khumaltar, Lalitpur, NepalGPO Box: 1513",Ar. Rajesh Thapa,01-5526315,rtacnepal@gmail.com,N/A
SILT Consultants (P) Ltd.,"217, Lalupate Marg, Hattisar",Apurba Bhattarai,977-1-4525788,info@silt.com.np,www.silt.com.np
Building Design Authority (P) Ltd.,"Osho Bhawan, Kamaladi, Kathmandu, NepalP.O. Box 2882",Er. Anil Kumar Nepal,"01-5347706, 01-5348200, 01-5347939",bdapvtltd@gmail.com,www.bda.com.np
CEMAT Consultants (P) Ltd.,"Hattisar, Kathmandu, NepalP.O. Box 3953",Er. Rajesh Kumar Shrestha,"01-4434895, 01-4434400","cemat@cemat.com.np, cemat2033@gmail.com",www.cemat.com.np
ITECO Nepal (P) Ltd.,"96 Shri Panchakanya Marga, Min Bhawan, P.O. Box 2147, Kathmandu Metropolis-31",Er. Tuk Lal Adhikari,977-1-4106776 (Hunting Line),iteco@mos.com.np,www.iteconepal.com
BDAnepal (P) Ltd.,"Pragati Marga-1, Bishalnagar – 5, Kathmandu, Nepal",Er. Jagadiswar Nath Shrestha,"01-4540364, 01-4536842",bdanep@gmail.com,www bdanep.com.np
GEOCE Consultants (P) Ltd.,"Thadodhunga Marg, Jhamsikhel, Lalitpur, NepalGPO Box 4266",Er. Subarna Bahadur Joshi,"01-5421175, 01-5445542",info@geoceconsultants.com,www.geoceconsultants.com
Technical Interface (TI),"147/65 Ga, Chaksibari Marga, Chhetrapati, Kathmandu, Nepal",Ar. Bibhuti Man Singh,5322408,bibhutiman@gmail.com,www.tecinternp.com
Sub Structural Consult (P) Ltd.,"Ratopul, Gaushala, Kathmandu, NepalP.O. Box 2734",Er. Keshav Kunwar,01-1-4460971,ssconsult1987@gmail.com,ssconsult.org.np
TAEC Consult (P) Ltd.,"GPO Box 2519, Bidhyapati Marg, Ganesh Marga, Sankhamul, Kathmandu, Nepal",Mr. Gyanendra Bhattrai,"5242940, 01-5242846",taec@mos.com.np,www.taecconsult.com
MEH Consultants (P) Ltd.,"960/32 Devkota Sadak, Mid-Baneshwor, Kathmandu, NepalGPO Box: 4036",Er. Govinda Man Tamrakar,01-4477634 / 01-4498783,meh@mehconsultants.com,www.mehconsultants.com
CMS Engineering Consult (P) Ltd.,"126 Green House, Bhadrabinayak Marg, Thapagaun, Naya Baneshwor, Kathmandu-10, NepalGPO Box 10872",Dr. Er. Sudeep Adhikari,01-5244139,cms@cmsnepal.org.np,
Joshi Associates,"GP Box 190759 Kamaladi, Kathmandu, Nepal",Er. Tirtha Bdr. Joshi,4435861 01-426394301-4241969,joshiassociates@gmail.com,N/A
Group of Engineers’ Consortium (P) Ltd.,"PO Box #19177, Kathmandu-32, Koteshwor",Er. Santosh Kunwar,"01-5915628, 9801811787",groupofengineers.gec@gmail.com,www.gec.com.np
Soil Test (P) Ltd.,"PO Box 2967, Sukedhara, Kathmandu, Nepal",Er. Mandakini Karki,"01-4374743, 01-4373625",support@soiltest.com.np,www.soiltest.com.np
Full Bright Consultancy (P) Ltd.,"316 Baburam Acharya Sadak, Sinamangal, Kathmandu-09, NepalGPO Box 4970",Er. Thakur P Sharma,+977-1-4568749;4568118,fbc@mos.com.np,www.fbc.com.np
MRB & Associates (P) Ltd.,"27/19 Seto Dhoka Marg, Jamal, Kathmandu, NepalP.O.Box 2669",Er. Manohar Rajbhandari,01-4243532,mrb.nassociates@gmail.com,www.mrb.com.np
Shah Consult International (P) Ltd.,"282 Jaycees Marg, Thapathali, Kathmandu, NepalP.O.Box 3840",Dr. Er. Sanjiv Shah,"01 5315046, 5332248",info@shahconsult.com,www.shahconsult.com
SIDEF Consultants (P) Ltd.,"SIDeF House, 77 Tara Marga, Sinamangal, Kathmandu, NepalP. O. Box. 1208",Dr. Er. Hare Ram Shrestha,01-4581538,sidef@mail.com.np,www.sidef.com.np
Environment and Resource Management Consultant (ERMC) (P) Ltd.,"Puja Pratisthan Marga, Mid Baneshwor, Kathmandu, Nepal",Er. Uddab Raj Chaulagain,"01-4583064, 4565863","ermc@ermcnepal.com, info@ermcnepal.com",www.ermcnepal.com
Innovative Createers (P) Ltd.,"1125/51(5), Thirbam Sadak, Maharajgunj, Kathmandu, NepalP.O. Box 12288",Ar. Ujjwal Man Shakya,"01-4514537, 01-4526539",createers@mos.com.np,www.createers.com.np
Shah Associates (P) Ltd.,"302 Tanka Prasad Marga, Old Baneswore Height, Ward Number 10, Kathmandu, NepalGPO Box 12141",Ar. Ranjan Singh Shah,"01-4481442, 01-4471248,01-4497643",ranjan.sassociates@gmail.com,www.hightechnepal.com
North Star Engineering Consultant (P) Ltd.,"Madhu Marga, Chakupat, Lalitpur",Er. Shrawan Kumar Thapa,01-5435662,nsec.consultant@gmail.com,www.northstarnepal.com
K.D. Associates (P) Ltd.,"Amrit Marg, Jyatha, Kathmandu, Nepal",Er. Kul Deep Ratna Tuladhar,4215340,kdapl@yahoo.com,www.hurarah.com.np
GENESIS Consultancy (P) Ltd.,"House # 261/91-25 Shree Marga, Shree Durbar Tole, Ward 3 Pulchowk, Lalitpur Metropolitan CityPO Box 8975 EPC 1220",Er. Shree Da Ram Prajapati,01-5552622,genesis.geoinfo@gmail.com,www.genesis.com.np
Project Engineering Consultancy And Research (P) Ltd. (PRECAR),"Devkota Sadak, Mid-Baneshwor, Kathmandu, Nepal",Er Shekhar Nath Chapagain,01-4565084,precar2005@gmail.com,www.precarnepal.org.np
Tech Studio of Engineering (P) Ltd. (TSE),"Bisalnagar, Kathmandu, Nepal",Er. Sanjeev Regmi,01-4433828,info@tse.com.np,www.tse.com.np
I. C. G. S. (P) Ltd.,"96 Shri Panchakanya Marga, Min Bhawan, P.O. Box 2147, Kathmandu Metropolis-31",Prof. Dr. Vishnu Dangol,01-4106912,icgs_1997@yahoo.com,www.icgs.com.np
Hydro Trans (P) Ltd.,"Sukedhara, Kathmandu, NepalPo. Box. 2967",Er. Binod Bharati,5553126,,N/A
